name,referentNumber,nameSection,webpageUrl,adressSection,type,address,city
ZyXel Communications B.V.,34261162,"ZyXEL Communications B.V. 2.1  (9) 
Computer support and services in Hoofddorp, Netherlands",/url?q=http://www.zyxel.com/nl/nl/&sa=U&ved=2ahUKEwikitnJ5un9AhWwiO4BHfcMC1AQgU96BAgMEAQ&usg=AOvVaw3cH7cqjlHbPzFmN4c2ocL3,"Address: Binnenweg 4, 2132 CT Hoofddorp, NetherlandsHours: Closed ⋅ Opens 9 AMPhone: +31 23 555 3689",Computer support and services,"Binnenweg 4, 2132 CT Hoofddorp",Hoofddorp
ZTE Netherlands B.V.,27280641,"ZTE Netherlands BV 3.5  (6) 
Computer support and services in the Hague, Netherlands",/url?q=http://www.zte.com.cn/&sa=U&ved=2ahUKEwi2nNnH5un9AhVYJEQIHXxKBokQgU96BAgMEAQ&usg=AOvVaw1iCPiC-b6mo5okMA6BpNbU,"Address: Maanplein 20, 2516 CK Den Haag, NetherlandsPhone: +31 70 304 0175",Computer support and services,"Maanplein 20, 2516 CK Den Haag",Haag
Zorgfactory B.V.,4061562,"Zorgfactory B.V. 5.0  (1) 
Financial institution in Ter Apel, Netherlands",/url?q=http://zorgfactory.nl/contact&sa=U&ved=2ahUKEwjQo5PF5un9AhUbOkQIHTzZAm0QgU96BAgKEAQ&usg=AOvVaw2IPMXyFPEImgo7_E7kUbEs,"Address: Nomdenweg 5, 9561 AM Ter Apel, NetherlandsHours: Closed ⋅ Opens 9 AMPhone: +31 599 589 080",F,"Nomdenweg 5, 9561 AM Ter Apel",Apel
ZorgDomein Nederland B.V.,34142150,"ZorgDomein Nederland B.V. 3.8  (18) 
Physician referral service in Breukelen, Netherlands",/url?q=https://zorgdomein.com/&sa=U&ved=2ahUKEwid8tfE5un9AhVhEEQIHW83AawQgU96BAgLEAQ&usg=AOvVaw2A5tVI03x-0ubSGRtJIHRP,"Address: Straatweg 68, 3621 BR Breukelen, NetherlandsHours: Closed ⋅ Opens 8:30 AMPhone: +31 20 471 5282",Physician referral service,"Straatweg 68, 3621 BR Breukelen",Breukelen
ZooStation B.V.,63536846,"ZooStation B.V. 5.0  (15) 
Software company in the Hague, Netherlands",/url?q=http://www.zoostation.nl/&sa=U&ved=2ahUKEwjr8v7D5un9AhWrKUQIHXRWBPQQgU96BAgLEAQ&usg=AOvVaw1SokAwAB6qkR4zwGRoyYGo,"Address: Regulusweg 11, Etage 3, 2516 AC Den Haag, NetherlandsHours: Closed ⋅ Opens 9 AMPhone: +31 70 221 0711",Software company,"Regulusweg 11, Etage 3, 2516 AC Den Haag",Haag
Zonnestroom Nederland B.V.,68548745,"Zonnestroom Nederland B.V. 4.7  (18) 
Energy equipment and solutions in Leusden, Netherlands",/url?q=http://www.zonnestroomnederland.nl/&sa=U&ved=2ahUKEwjbiczC5un9AhWQBEQIHZHWCYkQgU96BAgLEAQ&usg=AOvVaw0GoeA7O7UzBVRwrZDLTRYl,"Address: Hamersveldseweg 120, 3833 GT Leusden, NetherlandsHours: Closed ⋅ Opens 8:30 AMPhone: +31 85 065 5480",Energy equipment and solutions,"Hamersveldseweg 120, 3833 GT Leusden",Leusden
Zones Urbaines Sensibles Public B.V.,24323710,"ZUS | Zones Urbaines Sensibles 4.0  (6) 
Architect in Rotterdam, Netherlands",/url?q=http://www.zus.cc/&sa=U&ved=2ahUKEwjCiNPB5un9AhWyNEQIHQIHAPEQgU96BAgLEAQ&usg=AOvVaw1znLsKGCSFNRjM0TIb4trl,"Address: Schiekade 189, unit 303, 3013 BR Rotterdam, NetherlandsHours: Closed ⋅ Opens 9 AMPhone: +31 10 233 9409",Architect,"Schiekade 189, unit 303, 3013 BR Rotterdam",Rotterdam
Zoncoalitie Exploitatie B.V.,68802722,"Zoncoalitie 4.8  (5) 
Real estate consultant in Amsterdam, Netherlands",/url?q=https://www.zoncoalitie.nl/&sa=U&ved=2ahUKEwiUhN3A5un9AhVKBUQIHRHPDv4QgU96BAgKEAQ&usg=AOvVaw1x8YU9XvULB0tZv-CEU9Tm,"Address: IJsbaanpad 2, 1076 CV Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AMPhone: +31 20 737 2506",Real estate consultant,"IJsbaanpad 2, 1076 CV Amsterdam",Amsterdam
Zoku International B.V.,60864648,"Zoku Amsterdam 4.7  (2,003) 
Hotel",/url?q=https://livezoku.com/amsterdam&sa=U&ved=2ahUKEwiEhMO_5un9AhU_JUQIHfCqDMAQgU96BAgMEAQ&usg=AOvVaw1X_bKi2xptEfri_BLzZ9xQ,,Hotel,,
ZoBio B.V.,28103137,"ZoBio B.V. 5.0  (2) 
Research institute in Leiden, Netherlands",/url?q=https://zobio.com/&sa=U&ved=2ahUKEwjgn_O-5un9AhVgJEQIHZq1Dn4QgU96BAgKEAQ&usg=AOvVaw1ejHZIuB8Jra5ZuFhGpE0C,"Address: J.H. Oortweg 19, 2333 CH Leiden, NetherlandsHours: Closed ⋅ Opens 9 AMPhone: +31 71 204 0580",Research,"J.H. Oortweg 19, 2333 CH Leiden",Leiden
